Job_Title,Company,DatePosted,Expired_Dates,City,Employment_Type,url,source,Description
Cyber Security Subject Matter Expert - (REF1680K),Citizant,2024-09-10T22:41:43.68+00:00,,Brunswick Georgia United States,fulltime,https://jobs.smartrecruiters.com/Citizant/744000013008815-cyber-security-subject-matter-expert-ref1680k-,smartrecruiters,Company DescriptionCitizant is a leading provider of professional IT services to the US government We seek to address some of our countrys most pressing challenges in the areas of Agile application development Enterprise Data Management Enterprise Architecture Product Management and Program Management support services We strive to hire only ethical talented passionate and committed A Players who already align with the companys core values Drive Delivering Excellence Reputation Responsibility and a Better Future No matter how large we grow Citizant will retain its collaborative supportive smallcompany culture where successful team effort to address external and internal customer challenges is valued above all elseJob DescriptionThe expected pay range for this position isxa0160000 toxa0175000 yearly xa0The exact pay rate will vary based on skills experience and locationxa0Job OverviewCitizant is seeking a Cyber Security Subject Matter Expert SME to join our team This is an onsite position in Glynco Georgia The role focuses on developing implementing and managing comprehensive cybersecurity strategies and solutions to protect the customers systems The ideal candidate will have extensive experience in cybersecurity particularly in identifying and mitigating threats and vulnerabilities within cloud environmentsDuties Responsibilities Develop implement and manage comprehensive cybersecurity strategies and solutions to protect Citizants and client systems focusing on identifying and mitigating potential threats and vulnerabilitiesConduct security assessments penetration tests and vulnerability analyses to ensure compliance with industry standards and best practices particularly within cloud environmentsProvide expert guidance on security protocols tools and technologies ensuring the highest level of protection for systems and data across various platforms including cloud infrastructuresLead incident response efforts ensuring swift identification containment and resolution of cybersecurity incidentsCollaborate with crossfunctional teams to design and enforce security policies and protocols maintaining alignment with federal cybersecurity standardsStay current with the latest cybersecurity threats trends and technologies providing recommendations for continuous improvement of security measuresContribute to the development of disaster recovery and business continuity plans with a strong focus on securityQualificationsRequired Skillset7 to 10 years of experience in cybersecurity engineering or a related role with a proven track record of managing complex security environmentsAdvanced knowledge of cybersecurity principles practices and technologies with a focus on cloud security and penetration testingStrong analytical and problemsolving skills with the ability to quickly adapt to new threats and changes in the cybersecurity landscapeProficiency in conducting vulnerability assessments penetration tests and security audits with a solid understanding of both offensive and defensive security strategiesExcellent communication skills capable of effectively articulating complex cybersecurity concepts to both technical and nontechnical stakeholdersAbility to lead and collaborate with crossfunctional teams in highpressure environments ensuring the successful implementation of security initiativesDetailoriented and meticulous in the design implementation and management of security systems and protocolsEducationBachelors degree in Cybersecurity Information Technology Computer Science or a related field Masters degree preferredCertified Information Systems Security Professional CISSP requiredCertified Ethical Hacker CEH requiredCompTIA Security requiredAWS Certified Security Specialty or Microsoft Certified Azure Security Engineer Associate one is requiredCertified Information Security Manager CISM preferredCertified Information Systems Auditor CISA preferredOffensive Security Certified Professional OSCP preferredCertified Red Team Professional CRTP preferredCertified Expert Penetration Tester CEPT preferredClearance RequirementsUS Citizenship is requiredMust have an ACTIVE public trust or the ability to obtain oneAdditional InformationCitizant strives to be an employer of choice in the Washington metropolitan area Citizant associates accept challenging and rewarding work and in return receive excellent compensation and benefits as well as the opportunity for personal and professional developmentxa0Citizant is an Equal Opportunity Employer All qualified applicants will receive consideration for employment without regard to race color religion sex pregnancy sexual orientation gender identity national origin age protected veteran status or disability status
Cyber Security Analyst I,Navy Federal Credit Union,2024-09-10T20:10:22+00:00,2024-09-18T03:59:22+00:00,Pensacola Florida United States,fulltime,https://fa-etbx-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/20947,oraclecloud,To monitor security tools and systems and provides first tier response to cyber security incidents in a 247365 Cyber Security Operations Center Ensure adherence to standard operating procedures for detecting classifying and reporting incidents Works under minimal supervision
Cyber Security Subject Matter Expert - (REF1680K),Citizant,2024-09-10T15:56:23.504+00:00,,Brunswick Georgia United States,fulltime,https://jobs.smartrecruiters.com/Citizant/744000012935457-cyber-security-subject-matter-expert-ref1680k-,smartrecruiters,Company DescriptionCitizant is a leading provider of professional IT services to the US government We seek to address some of our countrys most pressing challenges in the areas of Agile application development Enterprise Data Management Enterprise Architecture Product Management and Program Management support services We strive to hire only ethical talented passionate and committed A Players who already align with the companys core values Drive Delivering Excellence Reputation Responsibility and a Better Future No matter how large we grow Citizant will retain its collaborative supportive smallcompany culture where successful team effort to address external and internal customer challenges is valued above all elseJob DescriptionJob OverviewCitizant is seeking a Cyber Security Subject Matter Expert SME to join our team This is an onsite position in Glynco Georgia The role focuses on developing implementing and managing comprehensive cybersecurity strategies and solutions to protect the customers systems The ideal candidate will have extensive experience in cybersecurity particularly in identifying and mitigating threats and vulnerabilities within cloud environmentsDuties Responsibilities Develop implement and manage comprehensive cybersecurity strategies and solutions to protect Citizants and client systems focusing on identifying and mitigating potential threats and vulnerabilitiesConduct security assessments penetration tests and vulnerability analyses to ensure compliance with industry standards and best practices particularly within cloud environmentsProvide expert guidance on security protocols tools and technologies ensuring the highest level of protection for systems and data across various platforms including cloud infrastructuresLead incident response efforts ensuring swift identification containment and resolution of cybersecurity incidentsCollaborate with crossfunctional teams to design and enforce security policies and protocols maintaining alignment with federal cybersecurity standardsStay current with the latest cybersecurity threats trends and technologies providing recommendations for continuous improvement of security measuresContribute to the development of disaster recovery and business continuity plans with a strong focus on securityQualificationsRequired Skillset7 to 10 years of experience in cybersecurity engineering or a related role with a proven track record of managing complex security environmentsAdvanced knowledge of cybersecurity principles practices and technologies with a focus on cloud security and penetration testingStrong analytical and problemsolving skills with the ability to quickly adapt to new threats and changes in the cybersecurity landscapeProficiency in conducting vulnerability assessments penetration tests and security audits with a solid understanding of both offensive and defensive security strategiesExcellent communication skills capable of effectively articulating complex cybersecurity concepts to both technical and nontechnical stakeholdersAbility to lead and collaborate with crossfunctional teams in highpressure environments ensuring the successful implementation of security initiativesDetailoriented and meticulous in the design implementation and management of security systems and protocolsEducationBachelors degree in Cybersecurity Information Technology Computer Science or a related field Masters degree preferredCertified Information Systems Security Professional CISSP requiredCertified Ethical Hacker CEH requiredCompTIA Security requiredAWS Certified Security Specialty or Microsoft Certified Azure Security Engineer Associate one is requiredCertified Information Security Manager CISM preferredCertified Information Systems Auditor CISA preferredOffensive Security Certified Professional OSCP preferredCertified Red Team Professional CRTP preferredCertified Expert Penetration Tester CEPT preferredClearance RequirementsUS Citizenship is requiredMust have an ACTIVE public trust or the ability to obtain oneAdditional InformationCitizant strives to be an employer of choice in the Washington metropolitan area Citizant associates accept challenging and rewarding work and in return receive excellent compensation and benefits as well as the opportunity for personal and professional developmentxa0Citizant is an Equal Opportunity Employer All qualified applicants will receive consideration for employment without regard to race color religion sex pregnancy sexual orientation gender identity national origin age protected veteran status or disability status
"Cyber Security Engineer - Onsite - Firewalls, Vuln Management, Pentesting - 5 years experience minimum","Akicita Federal, LLC",2024-09-10T00:00:00+00:00,,Washington District of Columbia United States,,https://jobs.lever.co/akicita-cyber/576141a4-4857-4509-9ef0-c7b743397402,lever.co,This position is onsite MUST HAVE 5 Years experience minimumnnnnnn120000 150000 a yearnJob DescriptionnWe are seeking an experienced IT Infrastructure Engineer to join our dynamic team The ideal candidate will provide comprehensive technical and engineering support for various IT infrastructure projects including upgrades enhancements additions and redesigns with a strong focus on security and compliance This role is critical in maintaining and improving our organizations security posture and operational efficiencynnKey ResponsibilitiesnProvide engineering and administration support for security components such as firewalls data loss prevention software security tools eg Qualys Tenable Nessus Splunk CrowdStrike content filtering antispam software and multifactor authentication devicesnVulnerability Management Some basic Penetration TestingnEnsure network infrastructure devices are configured in line with enterprise security standardsConduct periodic internal security audits for compliance with established baselinesnMonitor network security logs to identify potential security violations and follow defined response proceduresnRespond to escalated incident reports and troubleshoot network security issues in line with SLAsnTrack deployment and manage inventory of network security devicesnUtilize tool sets to detect unauthorized network activity coordinating with security offices and reporting incidents as necessarynStandardize and centralize reporting and logging for cybersecurity initiativesnEnsure compliance with OMB DISA USCERT NIST standards and applicable information security laws and mandatesProvide support for FISMA OIG audits including data gathering and meetingsnMaintain NIST 800 series compliance in Infrastructure Engineering and Operations environmentsnPerform security requirements analysis architecture design operations and incident reportingnCoordinate with vendors and thirdparty maintenance providers for network security device supportnDocument and maintain standard security configurations for networksecurity devicesnManage network device firmware and software updates assessing implementation impactsnHandle support maintenance contracts and provide renewal quotes in a timely mannernMonitor and document performance trends of network security devices recommending configuration changes as needednSupport the CISO in responding to security incidents and establishing incident response teamsnPrepare Daily Security Reports and manage the Infrastructure Operations Patch Management programnEnsure timely patching of infrastructure devices and draft Plan of Action and Milestones POAM for unmitigated vulnerabilitiesnnQualificationsnBachelors degree in IT Computer Science or a related fieldnProven experience in IT infrastructure and network securitynFamiliarity with security protocols cybersecurity frameworks and compliance standardsnStrong analytical troubleshooting and problemsolving skillsnExcellent communication and teamwork abilitiesnn
Cyber Security Engineer- Security Awareness,HealthFirst,2024-09-10T00:00:00+00:00,,United States,fulltime,https://healthfirst.wd1.myworkdayjobs.com/healthfirst/job/Remote---NC/Cyber-Security-Engineer--Security-Awarness_R018978,workday,We are seeking a highly motivated and enthusiastic individual to join our Security Team Candidate should have strong communication problem solving collaboration and relationship building skills You will have the opportunity to continue building out the Healthfirst security awareness training program Responsibilities Develop learning and awareness programs to cultivate a culture of security awareness Ensure Healthfirsts security awareness program meets industry regulations standards and compliance requirements as well as communicates our security polices and requirements so that employees know understand and can follow them Identify the top human risks to Healthfirst and the behaviors we need to change to mitigate that risk Develop and maintain a security awareness program that supports changing these risky behaviors ensuring HF employees act in a secure manner to help reduce risk to the organization Stay informed about the latest cybersecurity threats and industry best practices Minimum Qualifications High School Diploma or GED from an accredited institution Basic understanding of cybersecurity concepts and principles Have a basic understanding of the different concepts of information security Understand the concept of information securityhuman risks and the different elements and determine how to mitigate identified risks Work closely with leadership across the organization to understand security challenges and tailor training to meet business and compliance requirements Ability to develop comprehensive security awareness campaigns to ensure the organization is informed of current security risks and how they should avoid falling victim Strong analytical and problemsolving skills Excellent communication and collaboration skills Ability to work independently and as part of a team Eagerness to learn and contribute to the success of the Security team Preferred Qualifications Basic Security Awareness knowledge and experience giving training to nonsecurity personnel Knowledge of KnowBe4 and LivingSecurity security awareness platforms Ability to form complex communicationsmessages in a simple clear and concise manner to target various departments cross Healthfirst Project management experience to help in planning managing and maintaining a complex organization wide program Experience providing information security support andor solutions IT engineering or Security Engineering experience WE ARE AN EQUAL OPPORTUNITY EMPLOYER Applicants and employees are considered for positions and are evaluated without regard to race color religion gender gender identity sexual orientation national origin age genetic information military or veteran status marital status mental or physical disability or any other protected Federal StateProvince or Local status unrelated to the performance of the work involved If you have a disability under the Americans with Disability Act or a similar law and want a reasonable accommodation to assist with your job search or application for employment please contact us by sending an email to careersHealthfirstorg or calling 2125191798 In your email please include a description of the accommodation you are requesting and a description of the position for which you are applying Only reasonable accommodation requests related to applying for a position within Healthfirst Management Services will be reviewed at the email address and phone number supplied Thank you for considering a career with Healthfirst Management Services EEO Law Poster and Supplement All hiring and recruitment at Healthfirst is transacted with a valid healthfirstorg email address only or from a recruitment firm representing our Company Any recruitment firm representing Healthfirst will readily provide you with the name and contact information of the recruiting professional representing the opportunity you are inquiring about If you receive a communication from a sender whose domain is not healthfirstorg or not one of our recruitment partners please be aware that those communications are not coming from or authorized by Healthfirst Healthfirst will never ask you for money during the recruitment or onboarding process Hiring Range Greater New York City Area NY NJ CT residents 106300 153595 All Other Locations within approved locations 97000 144330 As a candidate for this position your salary and related elements of compensation will be contingent upon your work experience education licenses and certifications and any other factors Healthfirst deems pertinent to the hiring decision In addition to your salary Healthfirst offers employees a full range of benefits such as medical dental and vision coverage incentive and recognition programs life insurance and 401k contributions all benefits are subject to eligibility requirements Healthfirst believes in providing a competitive compensation and benefits package wherever its employees work and live The hiring range is defined as the lowest and highest salaries that Healthfirst in good faith would pay to a new hire or for a job promotion or transfer into this role Healthfirst is New Yorks largest notforprofit health insurer offering its nearly 17 million members access to highquality affordable healthcare As part of the community for nearly 30 years Healthfirsts unique advantage is rooted in its belief that good health doesnt start in a doctors office The companys mission is to put its members first by working closely with care providers and community leaders to address broader issues that can impact health and wellbeing This valuebased care model is the foundation of the companys sustained growth in one of the most dynamic markets in the country So if you are passionate about what you do and want to work for a company that is focused on the future and dedicated to making a difference in peoples lives then Healthfirst is for you Click here to navigate back to the career site
Senior Project Scientist (Cyber Security),Carnegie Mellon University,2024-09-10T00:00:00+00:00,,Pittsburgh Pennsylvania United States,parttime,https://cmu.wd5.myworkdayjobs.com/CMU/job/Pittsburgh-PA/Senior-Project-Scientist---Cyber-Security-_2022316-1,workday,Carnegie Mellon University is a private global research university that challenges the curious and hardworking to deliver work that matters Our extraordinary institution has distinctive areas of excellence and a culture marked by ambition and a deep practical engagement with challenges facing society We continue to produce versatile alumni and draw faculty and staff eager to be a part of the universitys creative dedicated and closeknit community We place emphasis on practical problem solving interdisciplinary learning a transformative spirit and collaboration The Software and Societal Systems S3D department within the School of Computer Science explores the vital intersection of the confluence of software systems and society to understand how computational biology might better serve humanity We are studying the bigger picture of computing in context in order to develop tools policies methods and much more all in the same making the world a safer more equitable better place to call home We are seeking Senior Project Scientist to work within an existing research group in the general area of cyber security with a focus on the generation and verification of adaptive security response measures to attacks Core responsibilities include Develop new theories and tools for generating and verifying automation and adaptive responses to security attacks Use of deep reinforcement learning probabilistic reasoning and large language models to build verifiably accurate and optimal responses to perceived system compromises Work with the research team and funding agencies to develop collaborative research results including regular participation in research meetings attendance at sponsorrequested events publication of research results Development of tools to transition research results into practice Flexibility excellence and passion are vital qualities within the School of Computer Science Research Department Inclusion collaboration and cultural sensitivity are valued competencies at CMU Therefore we are in search of a team member who is able to effectively interact with a varied population of internal and external partners at a high level of integrity We are looking for someone who shares our values and who will support the mission of the university through their work You should demonstrate Knowledge and experience in cyber security Proven ability to do and conduct research Qualifications Masters Degree in Computer Science or a closely related field PhD preferred in Computer Science or a related field 5 years of experience in conducting research in cyber security including the formal theories underlying it and tools to support cyberresilient systems A combination of education and meaningful experience from which comparable knowledge is proven may be considered A collaborative and flexible work ethic Experience in symbolic bounded and probabilistic model checkers based on BDDs Binary Decision Diagrams and SMT Satisfiability Module Theories to verify safety properties related to reachability stability risktolerance and resilience for various cyber domains including access controls in enterprise and cloud networks IoT smart grids softwaredefined networks and moving target defense systems is valued Requirements Successful background investigation Joining the CMU team opens the door to an array of exceptional benefits available to eligible employees Those employees who are benefits eligible have the opportunity to experience the full spectrum of advantages from comprehensive medical prescription dental and vision insurance to an enticing retirement savings program offering a generous employer contribution You can also unlock your potential with tuition benefits and take welldeserved breaks with ample paid time off and observed holidays Finally rest easy knowing you are covered by life and accidental death and disability insurance Other perks include a free Pittsburgh Regional Transit bus pass our Family Concierge Team to help navigate childcare needs fitness center access and so much more For a comprehensive overview of the benefits that may be awaiting you explore our Benefits page At Carnegie Mellon we value the whole package when extending offers of employment Beyond just credentials we consider the role and responsibilities your invaluable work experience and the knowledge gained through education and training We acknowledge and appreciate your unique skills and the diverse perspective you bring Your journey with us is about more than just a job its about finding the perfect fit for your professional growth and personal aspirations Are you interested in an exciting opportunity with an exceptional organization Apply today Location Pittsburgh PA Job Function Engineering Research and Project Scientists Position Type Staff Fixed Term Fixed Term Full TimePart time Part time Pay Basis Hourly More Information Please visit Why Carnegie Mellon to learn more about becoming part of an institution inspiring innovations that change the world Click here to view a listing of employee benefits Carnegie Mellon University is an Equal Opportunity EmployerDisabilityVeteran Statement of Assurance Interested in a career with Carnegie Mellon University but not finding anything that currently aligns with your interests background or experience Learn how to sign up for Job Alerts through your candidate profile If your heart is in your work come work with us Carnegie Mellon University isnt just one of the worlds most renowned educational institutions its also a hotspot for some of the most talented doers dreamers and differencemakers on the planet When you join our staff youll become an important part of our mission to create a healthier safer and more just life for all No matter what your role or location youll connect and collaborate with dedicated passionate colleagues and youll have the satisfaction of delivering work that truly matters At Carnegie Mellon an unshakeable commitment to diversity equity and inclusion is woven into all aspects of our campus culture We cultivate a vibrant welcoming environment where everyone is valued and encouraged to contribute and achieve In addition to competitive benefits and a robust support network youll have access to many tools and resources to sharpen your abilities and professional skills as well as opportunities to engage and share perspectives with a dynamic and inspiring community of uniquely talented staff faculty students and alumni The future is awaiting your expertise and intellect Come join the architects of whats next Apply now Learn more about Student Employment Please see Faculty Careers For technical assistance email HR Services or call 4122684600 If you are an individual with a disability and you require assistance with the job application process please email Equal Opportunity Services or call 4122683930 Prospective Employee Disclosures
Technology Infrastructure and Cyber Security Audit - Vice President,Deutsche Bank,2024-09-10T00:00:00+00:00,,United States,fulltime,https://db.wd3.myworkdayjobs.com/DBWebsite/job/Cary-3000-CentreGreen-Way/Technology-Infrastructure-and-Cyber-Security-Audit---Vice-President_R0348981-1,workday,Job Description Job Title Technology Infrastructure and Cyber Security Audit Corporate Title Vice President Location Cary NC Overview You will be a member of the global Group Audit GA Cyber Infrastructure Technology team reporting into one of the accountable Principal Audit Managers You will join one of the teams responsible for auditing technology risk for core cyber security or Information Technology infrastructure functions of Deutsche Bank including the usage of emerging platform technologies such as cloud computing You will lead or participate in audits in accordance with the audit methodology evaluating the adequacy and effectiveness of internal controls relating to risks within those Business areas What We Offer You A diverse and inclusive environment that embraces change innovation and collaboration A hybrid working model allowing for inoffice work from home flexibility generous vacation personal and volunteer days Employee Resource Groups support an inclusive workplace for everyone and promote community engagement Competitive compensation packages including health and wellbeing benefits retirement savings plans parental leave and family building benefits Educational resources matching gift and volunteer programs What Youll Do Evaluate the effectiveness of internal controls relating to cyber security and infrastructure in accordance with Group Audit methodology and the established risk assessment framework Conduct Technology assessments and continuous monitoring and complete all work assignments on a timely basis including planned audits finding validations and adhoc projects Prepare coordinate and execute audit assignments attend meetings with internal stakeholders as and when required draft exceptions and audit findings for review by the audit lead and audit management facilitate tracking and closure validation of findings Develop and maintain broad regulatory knowledge and experience Stay abreast of Businessindustry changes and their effect on the teams audit plan audit methodology and risk assessments Proactively develop and maintain professional working relationships with colleagues including coaching of junior team members dependent on seniority of applicant the Business and respective support areas Work in an integrated manner with fellow team members both locally and globally as well as contribute to departmental projects and initiatives How Youll Lead Experience in coaching and developing junior staff Ability to have challenging conversations with members of your audit team and identifying any skill gaps Skills Youll Need Experience in auditing or practical working experience with Technology topics such as Cyber cloud operating systems databases enduser computing etc Strong analytical and communication skills together with the ability to clearly articulate control deficiencies and related risks All undergraduate or equivalent degree educational background welcome as well as relevant vocational apprenticeship relevant professional certifications eg CISA CISSP CCAK CCSP ITIL COBIT preferred but not essential Skills That Will Help You Excel Ability to multitask assignments prioritize workloads with minimal supervision and work well within local and distributed teams Team working capabilities and the ability to build strong Business and team relationships Firm commitment to maintaining the highest professional and ethical standards and the ability to stand your ground when challenged are key to succeeding in this role Interest in emerging technologies relating to coding data analytics cloud infrastructure or artificial intelligence is an advantage Expectations It is the Banks expectation that employees hired into this role will work in the Cary NC office in accordance with the Banks hybrid working model Deutsche Bank provides reasonable accommodations to candidates and employees with a substantiated need based on disability andor religion The salary range for this position in Cary NC is 125000 to 203000Actual salaries may be based on a number of factors including but not limited to a candidates skill set experience education work location and other qualificationsPosted salary ranges do not include incentive compensation or any other type of remuneration Deutsche Bank Benefits At Deutsche Bank we recognize that our benefit programs have a profound impact on our colleagues Thats why we are focused on providing benefits and perks that enable our colleagues to live authentically and be their whole selves at every stage of life We provide access to physical emotional and financial wellness benefits that allow our colleagues to stay financially secure and strike balance between work and home Click here to learn more Learn more about your life at Deutsche Bank through the eyes of our current employees httpscareersdbcomlife The California Consumer Privacy Act outlines how companies can use personal information If you are interested in receiving a copy of Deutsche Banks California Privacy Notice please email HRDirectDBcom LIHYBRID We strive for a culture in which we are empowered to excel together every day This includes acting responsibly thinking commercially taking initiative and working collaboratively Together we share and celebrate the successes of our people Together we are Deutsche Bank Group We welcome applications from all people and promote a positive fair and inclusive work environment We are an Equal Opportunity Employer VeteransDisabled and other protected categories Click these links to view the following notices EEO is the Law poster and supplement Employee Rights and Responsibilities under the Family and Medical Leave Act Employee Polygraph Protection Act and Pay Transparency Nondiscrimination Provision Deutsche Bank provides commercial and investment banking retail banking transaction banking and asset and wealth management products and services to corporations governments institutional investors small and mediumsized businesses and private individuals Deutsche Bank is Germanys leading bank with a strong position in Europe and a significant presence in the Americas and Asia Pacific
Manager of Cyber Security,Overstock.com,2024-09-10T00:00:00+00:00,,Midvale Utah United States,fulltime,https://overstock.wd5.myworkdayjobs.com/BedBathandBeyond_Careers/job/Hybrid---Utah/Manager-of-Cyber-Security_R0006744,workday,We Go Beyond At Beyond we believe that everyone should Be You Beyond is a community that upholds a culture of understanding acceptance and respect We believe a persons individuality is at the core of diversity and those traits beliefs and characteristics should be valued and embraced Living by this ethos is essential to the success of our business Our goal is to foster a more diverse environment where every employee visibly demonstrates inclusive behaviors and respect for individuals JOB DESCRIPTION Job Scope Responsible for safeguarding network systems applications and services by identifying mitigating and remediating security risks This role includes automating security operations enhancing tool efficiency and ensuring seamless integration of security measures across the organization The Cybersecurity Manager also plays a pivotal role in shaping security strategy and driving continuous improvement ESSENTIAL JOB DUTIES Manage the security budget including researching and recommending new security systems tools and technologies that align with organizational goals Contribute to the development and execution of security infrastructure projects and longterm strategic roadmaps Collaborate with crossfunctional teams including cybersecurity IT operations and software engineering to implement and manage security initiatives effectively Lead the design and documentation of disaster recovery business continuity and incident response plans ensuring readiness for potential disruptions Continuously monitor security feeds and threat intelligence sources to proactively identify assess and address vulnerabilities and emerging threats Ensure compliance with patch management policies and standards coordinating with relevant teams for timely updates Architect and maintain secure environments working closely with other departments to onboard sustain and enhance security operations Oversee and coordinate internal and external vulnerability assessments penetration testing and remediation efforts Conduct regular audits and assessments to ensure compliance with industry regulations and organizational policies Provide expert guidance and training to business units on secure practices identifying areas for improvement and promoting a culture of security awareness Maintain strong relationships with vendors and external partners evaluating thirdparty security measures and managing risks Perform other duties as required including leading special projects as assigned by leadership IMPACT The Cybersecurity Manager implements strategic initiatives set by cybersecurity leadership independently leads multiple workstreams and executes project plans from inception to completion This role is pivotal in recurring engagements with crossfunctional teams serving as a technical advisor on security operations The manager also oversees interteam communication manages external communications and leads product Proof of Concepts POCs and technical decisionmaking processes MINIMUM QUALIFICATIONS SKILLS Experience with the following Public Cloud Security AWS GCP Azure Oracle Cloud Network Security Web Application Firewall WAF Security Information and Event Management SIEM Endpoint Detection and Response EDR Digital Forensics and Incident Response DFIR Threat and Vulnerability Management Penetration Testing and Vulnerability Assessment Security Architecture and Design Incident Management Security Automation Experience hiring and leading diverse teams EDUCATIONLICENSINGCERTIFICATION Graduation from an accredited institution with a bachelors degree in a technical discipline Information Systems Computer Science Computer Engineering or a related field or any combination of education andor experience CERTIFICATIONS any of the following are acceptable SANSGIAC GSEC GCIH GCIA etc Public Cloud Security or DevOps certifications CEH CHFI OSCP CISSP CISM Relevant network or coding certifications Physical Requirements This position requires the incumbent to sit stand and perform general office functions The incumbent may also be required to lift 25 pounds or more occasionally Bending stooping and reaching are also frequently required Equal Employment Opportunity It is company policy to provide equal employment opportunity for all applicants and associates This policy includes our commitment to ensure that all employment decisions are made without regard to race color religion gender national origin disability pregnancy veteran status including Vietnam era veterans age sexual orientation gender identity or any other nonjobrelated characteristic protected by law Base Pay Range 123000 150000 per year Who We Are Were a passionate group of collaborative problem solvers and creative innovators working on cuttingedge technology From building awardwinning retail applications with amazing AR functionality to creating leading blockchain and machine learning technologies each of us embodies a unique value and contributes a diverse perspective to the team What We Offer 401k 6 match Flexible Schedules Onsite Health Clinic Tuition Reimbursement Leadership Development Program Mentorship Program Onsite Fitness Center Employee Resource Groups LatinX Black Employee Network LGBTQIA Womens Network Women In Tech And More Benefits vary based on position tenure location and employee election Physical Requirements This position requires you to sit stand and perform general office functions You may also be required to lift up to 25 pounds occasionally Bending stooping and reaching are also frequently required Equal Employment Opportunity It is our policy to provide equal employment opportunity for all applicants and associates This policy includes our commitment to ensure that all employment decisions are made without regard to race color religion gender national origin disability pregnancy veteran status including Vietnam era veterans age sexual orientation gender identity or any other nonjobrelated characteristic protected by law Back to Beyond Careers We Go Beyond Recognized as one of the nations best employers Beyond is committed to an inclusive outcomedriven and empowering work environment Join a team that encourages you to be authentically you Beyond is a techdriven online retailer located near Salt Lake City in the shadow of the Wasatch Mountains Though we began in 1999 as Overstock our brand has evolved from a liquidation startup to a billiondollar online home retailer In 2023 Overstock acquired the Bed Bath Beyond branding and weve been helping customers from both companies create their dream homes ever since
Cyber Security Subject Matter Expert (SME) - REF1680K,Citizant,2024-09-09T23:56:03.545+00:00,,Brunswick Georgia United States,fulltime,https://jobs.smartrecruiters.com/Citizant/744000012735352-cyber-security-subject-matter-expert-sme-ref1680k,smartrecruiters,Company DescriptionCitizant is a leading provider of professional IT services to the US government We seek to address some of our countrys most pressing challenges in the areas of Agile application development Enterprise Data Management Enterprise Architecture Product Management and Program Management support services We strive to hire only ethical talented passionate and committed A Players who already align with the companys core values Drive Delivering Excellence Reputation Responsibility and a Better Future No matter how large we grow Citizant will retain its collaborative supportive smallcompany culture where successful team effort to address external and internal customer challenges is valued above all elseJob DescriptionJob OverviewCitizant is seeking a Cyber Security Subject Matter Expert SME to join our team This is an onsite position in Glynco Georgia The role focuses on developing implementing and managing comprehensive cybersecurity strategies and solutions to protect the customers systems The ideal candidate will have extensive experience in cybersecurity particularly in identifying and mitigating threats and vulnerabilities within cloud environmentsDuties Responsibilities Develop implement and manage comprehensive cybersecurity strategies and solutions to protect Citizants and client systems focusing on identifying and mitigating potential threats and vulnerabilitiesConduct security assessments penetration tests and vulnerability analyses to ensure compliance with industry standards and best practices particularly within cloud environmentsProvide expert guidance on security protocols tools and technologies ensuring the highest level of protection for systems and data across various platforms including cloud infrastructuresLead incident response efforts ensuring swift identification containment and resolution of cybersecurity incidentsCollaborate with crossfunctional teams to design and enforce security policies and protocols maintaining alignment with federal cybersecurity standardsStay current with the latest cybersecurity threats trends and technologies providing recommendations for continuous improvement of security measuresContribute to the development of disaster recovery and business continuity plans with a strong focus on securityQualificationsRequired Skillset7 to 10 years of experience in cybersecurity engineering or a related role with a proven track record of managing complex security environmentsAdvanced knowledge of cybersecurity principles practices and technologies with a focus on cloud security and penetration testingStrong analytical and problemsolving skills with the ability to quickly adapt to new threats and changes in the cybersecurity landscapeProficiency in conducting vulnerability assessments penetration tests and security audits with a solid understanding of both offensive and defensive security strategiesExcellent communication skills capable of effectively articulating complex cybersecurity concepts to both technical and nontechnical stakeholdersAbility to lead and collaborate with crossfunctional teams in highpressure environments ensuring the successful implementation of security initiativesDetailoriented and meticulous in the design implementation and management of security systems and protocolsEducationBachelors degree in Cybersecurity Information Technology Computer Science or a related field Masters degree preferredCertified Information Systems Security Professional CISSP requiredCertified Ethical Hacker CEH requiredCompTIA Security requiredAWS Certified Security Specialty or Microsoft Certified Azure Security Engineer Associate one is requiredCertified Information Security Manager CISM preferredCertified Information Systems Auditor CISA preferredOffensive Security Certified Professional OSCP preferredCertified Red Team Professional CRTP preferredCertified Expert Penetration Tester CEPT preferredClearance RequirementsUS Citizenship is requiredMust have an ACTIVE public trust or the ability to obtain onexa0Additional InformationCitizant strives to be an employer of choice in the Washington metropolitan area Citizant associates accept challenging and rewarding work and in return receive excellent compensation and benefits as well as the opportunity for personal and professional developmentxa0Citizant is an Equal Opportunity Employer All qualified applicants will receive consideration for employment without regard to race color religion sex pregnancy sexual orientation gender identity national origin age protected veteran status or disability status
